Day,Type,Name,Series,Target,Description
Lunes,Activity,Clase de Muay Thai,1,60-90 min,"Entrenamiento técnico de Muay Thai."
Martes,Exercise,Sentadilla Goblet con Mancuerna,4,8-10 reps,"Fundamental para la potencia de tus patadas. Sujeta una mancuerna en vertical contra tu pecho."
Martes,Exercise,Remo Renegado (Renegade Row),3,8 reps p/brazo,"Fortalece la espalda y el core. En posición de plancha con mancuernas, rema con un brazo sin girar las caderas."
Martes,Exercise,Flexiones a Máxima Velocidad,4,AMRAP,"Desarrolla la potencia de empuje para tus puños. AMRAP = As Many Reps As Possible (Tantas como puedas)."
Martes,Exercise,Curl de Bíceps con Mancuerna,3,10-12 reps,"Fortalece los bíceps para la fuerza de tracción en el clinch."
Martes,Exercise,Extensión de Tríceps sobre la Cabeza,3,10-12 reps,"Añade potencia a la extensión final de tus puñetazos."
Miércoles,Activity,Ruta Plana Mapocho 42k,1,60-90 min,"Ciclismo de Resistencia."
Jueves,Exercise,Zancadas con Pausa,3,10 reps p/pierna,"Construye resistencia en las piernas. Sostén las mancuernas, haz una zancada y aguanta 2 segundos abajo."
Jueves,Exercise,Press de Hombro de Rodillas,3,12-15 reps,"Para la resistencia de los hombros al golpear. Arrodillado para proteger la espalda."
Jueves,Exercise,Remo con Banda,3,20 reps,"Simula el agarre y jale constante del clinch."
Jueves,Exercise,Fortalecimiento de Cuello (Isométricos),2,10-15 seg,"Fortalece el cuello de forma segura, empujando la cabeza contra la mano."
Jueves,Exercise,Elevaciones de Mentón,3,15-20 reps,"Fortalece la parte frontal del cuello sin usar impulso."
Jueves,Exercise,Plancha (Plank),3,60 seg,"Un core fuerte es la base de todo. Mantén una línea recta desde la cabeza a los talones."
Jueves,Exercise,Giro Ruso (Russian Twist),3,20 giros,"Fortalece los oblicuos para la rotación en golpes y rodillas."
Viernes,Activity,Clase de Muay Thai,1,60-90 min,"Entrenamiento técnico de Muay Thai."
Sábado,Activity,Ascenso al Cerro San Cristóbal,1,Ritmo desafiante,"Ciclismo de Intensidad."
Domingo,Activity,Sesión de Estiramientos y Movilidad,1,15-20 min,"Movilidad y Recuperación Activa."
